com.samsung.shealth.sleep_snoring,6266001,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
81860,,2023-11-09 08:24:38.615,,,2023-11-09 13:17:02.756,2023-11-09 13:17:02.756,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:26:00.475,1f1cd717-08b1-4fe6-8ca1-86545d09db7f,
82228,,2023-11-09 08:31:42.044,,,2023-11-09 13:17:02.756,2023-11-09 13:17:02.756,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:33:04.272,8758190f-cccb-4046-a1ce-68e3bdcc1a06,
479178,,2023-11-09 08:38:34.812,,,2023-11-09 13:17:02.756,2023-11-09 13:17:02.756,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:46:33.990,fc354391-3ba4-4eae-af33-aa5e18d0e871,
85469,,2023-11-09 09:06:38.058,,,2023-11-09 13:17:02.756,2023-11-09 13:17:02.756,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:08:03.527,4d57c95f-89e6-462d-8929-023efb0d4592,
236578,,2023-11-09 09:13:36.482,,,2023-11-09 13:17:02.756,2023-11-09 13:17:02.756,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:17:33.060,882011e7-9712-44ff-9555-067e7456eb49,
82129,,2023-11-09 09:20:11.397,,,2023-11-09 13:17:02.756,2023-11-09 13:17:02.756,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:21:33.526,76b1ec88-dc6e-4681-b9dd-0ce697758a7a,
172776,,2023-11-09 09:26:09.358,,,2023-11-09 13:17:02.757,2023-11-09 13:17:02.757,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:29:02.134,930172a5-92ed-450b-8aa2-899d689aaf22,
203983,,2023-11-09 09:29:35.462,,,2023-11-09 13:17:02.757,2023-11-09 13:17:02.757,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:32:59.445,0405d039-557d-4790-af13-691eb4ded747,
204448,,2023-11-09 09:33:34.816,,,2023-11-09 13:17:02.757,2023-11-09 13:17:02.757,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:36:59.264,c1646e98-e911-43e4-a86d-4c14f50f13cc,
174729,,2023-11-09 09:38:35.927,,,2023-11-09 13:17:02.757,2023-11-09 13:17:02.757,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:41:30.656,1a32a76d-c6f8-4f8c-97a5-2702eb3e0c96,
113338,,2023-11-09 09:43:37.130,,,2023-11-09 13:17:02.757,2023-11-09 13:17:02.757,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:45:30.468,5e6cbf02-78de-4e78-b14a-9820138baa9d,
82134,,2023-11-09 09:48:06.945,,,2023-11-09 13:17:02.757,2023-11-09 13:17:02.757,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 09:49:29.079,d3d78fda-57fb-4d1d-8bce-f1626b7fefab,
230733,,2023-11-09 09:58:11.307,,,2023-11-09 13:17:02.758,2023-11-09 13:17:02.758,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 10:02:02.040,ef565aba-9587-4ff5-a4ce-fc122ccfec57,
85387,,2023-11-09 10:24:37.221,,,2023-11-09 13:17:02.758,2023-11-09 13:17:02.758,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 10:26:02.608,908c20b2-70ae-4842-96a1-b16dabfdb01a,
147973,,2023-11-09 11:19:04.813,,,2023-11-09 13:17:02.758,2023-11-09 13:17:02.758,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 11:21:32.786,ec3804d2-0328-418b-a3f4-d1c4470f55f2,
174357,,2023-11-09 11:22:04.811,,,2023-11-09 13:17:02.758,2023-11-09 13:17:02.758,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 11:24:59.168,fd87d623-d42a-4215-a548-244c39deb96f,
235102,,2023-11-09 11:25:38.521,,,2023-11-09 13:17:02.758,2023-11-09 13:17:02.758,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 11:29:33.623,237cdcfc-7a28-4ee3-b613-535790eaf22e,
84273,,2023-11-09 11:30:06.762,,,2023-11-09 13:17:02.758,2023-11-09 13:17:02.758,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 11:31:31.035,b5771f87-7e06-4a4f-a68c-09947e9499a5,
78801,,2023-11-09 11:34:43.716,,,2023-11-09 13:17:02.759,2023-11-09 13:17:02.759,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 11:36:02.517,d8dc7cec-f5cb-4e28-933f-2ed2338bfab2,
113804,,2023-11-09 12:17:35.464,,,2023-11-09 13:17:02.759,2023-11-09 13:17:02.759,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 12:19:29.268,f358c0f5-b24a-4599-ab82-640bbbda7e75,
81862,,2023-11-09 12:24:40.374,,,2023-11-09 13:17:02.759,2023-11-09 13:17:02.759,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 12:26:02.236,03b47f91-02de-4484-b4f7-a97919b50bee,
